Number of Pupils,GCSE Pass Average %,% Rate of Absence
903,62.64419094,6.377777778
903,86.00150011,3.688888889
904,78.85603491,5.611111111
905,75.10556003,6.58
905,77.17066879,5.533333333
906,83.24015409,5.255555556
906,98.27463155,5.344444444
907,75.26983974,4.522222222
907,71.49951286,7.066666667
908,68.49107283,6.488888889
908,66.56234841,7.355555556
908,72.40759135,6.914285714
908,77.66031482,5.425
909,75.3722027,7.44
909,68.12532567,5.066666667
909,68.54910377,7.644444444
910,85.15698595,4.566666667
911,61.25388328,8.188888889
911,58.31841961,8.555555556
912,68.72311913,6.511111111
912,71.93149464,7.233333333
912,66.94471651,8.355555556
913,64.70412912,7.133333333
913,44.40755533,10.56666667
913,80.93964559,7.1875
913,40.90697322,8.82
914,80.23826695,5.566666667
914,69.96034924,7.966666667
914,60.96648051,7.777777778
915,45.91922362,11.01666667
915,51.69719225,8.288888889
916,99.73258507,4.288888889
916,76.3758223,6.077777778
917,76.48346982,5.933333333
917,75.18145643,6.844444444
917,66.2869739,8.522222222
918,75.57885265,5.2
918,88.86019632,5.655555556
918,99.59191185,5.466666667
918,66.39390717,6.888888889
919,81.71329376,5.533333333
919,68.19207968,6.366666667
919,64.14067501,7.75
919,82.38108656,5.133333333
919,56.40785128,7.755555556
920,66.28547342,6.355555556
920,74.52903332,6.6125
920,51.78906319,13.34
921,68.72272058,8.325
921,59.88365113,7.4
921,55.33791806,7.688888889
921,84.75721377,6.988888889
922,63.45135858,7.955555556
923,77.2920264,6.111111111
924,80.20988529,5.988888889
924,43.64097566,10.24444444
925,68.0950497,7.088888889
926,67.44497691,7.122222222
926,88.54866519,4.477777778
926,65.98506329,6.711111111
926,93.83831543,4.211111111
927,80.37672037,5.555555556
928,71.69569951,8.288888889
928,97.83041062,4.133333333
928,78.70168738,4.9
928,66.41135656,10.38571429
928,63.44727838,7.433333333
928,75.16939256,5.655555556
929,99.69347277,4.722222222
929,71.07174154,6.611111111
929,67.12609023,5.833333333
930,86.98127219,6.466666667
931,55.55728173,7.444444444
931,75.27513217,7.733333333
931,77.71201897,6.757142857
931,71.05871315,6.455555556
931,56.54762987,6.733333333
931,75.10530561,5.533333333
932,80.66317215,5.516666667
932,46.3945785,10.01111111
932,70.18237894,5.042857143
933,79.06809533,4.777777778
933,89.35686379,4.522222222
934,57.94884694,6.411111111
934,72.38777725,6.166666667
934,100,4.155555556
935,72.80445967,7.277777778
936,73.96428958,7.388888889
936,68.02784275,6.6
936,54.63063612,7.622222222
937,65.30895799,7.714285714
937,59.06464738,9.1375
938,87.33283237,4.877777778
939,67.56403865,6.855555556
940,49.07602276,7.222222222
940,83.70925636,6.1
940,70.20625248,6.3
940,63.22790922,8.78
940,60.1071933,8.916666667
940,63.70436221,5.4
942,99.62286194,4.533333333
942,55.34905307,9.055555556
942,82.31253441,5.577777778
943,72.14274521,7.377777778
943,76.44765172,5.933333333
943,79.97648029,5.344444444
943,61.76056889,8
944,57.64556255,7.955555556
944,99.73299746,4.833333333
944,58.33769459,5.822222222
945,68.65790428,6.7
946,46.06216598,7.433333333
946,63.58044584,6.877777778
947,59.46619413,7.766666667
947,91.43677843,6.566666667
947,55.02825156,8.211111111
947,45.12799788,10.06666667
947,98.69039808,4.622222222
948,96.74329767,5.044444444
948,72.56541593,8.255555556
949,62.1837797,7.566666667
950,67.97372851,7.033333333
950,84.58900856,6.277777778
950,98.50991516,4.622222222
950,76.97919462,5.855555556
951,64.51004431,8
951,72.1424041,6.688888889
951,54.30930572,10.76
951,71.24429033,4.988888889
951,65.2850408,6.788888889
952,61.62194969,8.511111111
952,75.97690096,6.388888889
952,59.30920688,8.755555556
952,54.21042097,7.166666667
954,52.29152209,9.6
955,58.53839227,8.344444444
956,60.46220195,7.177777778
957,74.00787229,7.055555556
957,73.67792867,6.633333333
959,62.34187021,7.055555556
959,65.47355799,7.066666667
960,64.66181172,7.133333333
960,60.08969366,8.144444444
962,47.85858547,8.016666667
963,92.67027532,4.355555556
963,59.94245579,6.988888889
963,59.84919198,6.533333333
964,73.19327134,6.822222222
964,82.76620393,5.866666667
964,73.38258684,5.788888889
965,72.014021,8.48
965,63.01562174,8.24
965,63.54153247,6
966,67.37741957,6.833333333
