Number of Pupils,GCSE Pass Average %,% Rate of Absence
826,67.73526938,6.822222222
826,55.71498916,7.45
826,63.67285627,8.211111111
826,78.0369965,4.46
826,75.12427359,5.355555556
826,77.28584444,5.255555556
827,70.1897669,6.733333333
827,80.80003406,5.755555556
827,84.81121741,4.788888889
828,57.2598131,7.455555556
828,57.11232435,6.611111111
828,61.92850864,6.977777778
829,59.98670994,8.555555556
829,80.84308942,5.722222222
829,78.45819513,6.377777778
829,83.13994708,6.133333333
829,87.47544911,4.844444444
830,66.12200647,6.722222222
830,77.55326359,5.255555556
830,55.73596647,9.94
830,61.78548694,7.088888889
831,100,4.822222222
832,96.44494067,4.544444444
832,57.42112998,9.288888889
832,81.20673856,6.388888889
834,79.89528076,6.183333333
834,68.86444248,6.644444444
835,79.76424066,5.711111111
835,53.02681802,8.8
835,63.39562009,5.833333333
836,64.92524567,7.688888889
836,61.2384424,9.04
836,99.8015873,3.955555556
836,72.21400537,6.088888889
836,70.11275351,5.544444444
837,36.56188202,11.28888889
837,88.71008743,4.577777778
837,71.90604553,5.388888889
837,69.47316334,6.144444444
837,72.97459085,5.155555556
840,77.98440335,5.622222222
840,87.40021551,5.311111111
841,73.9270818,6.033333333
841,68.63161173,7.255555556
841,47.93085259,9.533333333
841,68.51239888,6.528571429
843,56.68147927,8.366666667
843,62.40411877,7.755555556
843,71.56174051,6.766666667
843,53.76760858,7.1
844,69.00545028,6.688888889
844,66.92858411,8.0125
845,70.29532166,5.488888889
846,71.96936468,7.822222222
847,69.76230922,6.711111111
848,80.95593316,5.577777778
848,64.05326826,7.6
848,73.15360336,7.211111111
849,61.08843692,7.5
852,77.57393847,6.933333333
852,55.81663136,9.1
853,74.64377937,5.122222222
854,61.36258518,7.677777778
854,95.20393146,2.685714286
855,76.83385405,6.333333333
855,68.03351137,7.355555556
855,98.94272161,4.888888889
855,66.65584625,6.466666667
855,62.64741371,8.755555556
856,70.99639326,6.688888889
856,82.2810443,5.255555556
856,65.98576649,7.411111111
856,54.16320342,9.088888889
857,59.22038933,8.7
858,68.96488179,6.922222222
858,59.24778787,7.877777778
858,53.43229869,8.1
858,61.6015838,8.022222222
859,85.9319642,5.433333333
859,51.16252314,9.34
860,71.01258938,8.644444444
861,64.85418829,8.1
861,68.04671762,5.966666667
862,67.36277512,8.783333333
862,61.70343066,7.6
864,55.45001197,8.96
864,73.40428017,7.4375
866,72.9698685,8.033333333
867,82.31936159,5.3
867,74.27325733,7.211111111
868,64.48537564,6.266666667
869,64.16522088,7.466666667
869,67.14685622,5.988888889
869,100,4.3
870,61.81905678,6.788888889
871,85.21135899,5.533333333
871,66.66311415,7.3
872,82.65128249,5.622222222
872,97.17987134,5.5
872,76.35679873,6.6
873,73.90931071,5.866666667
873,70.3763344,6.75
873,67.08695051,8.011111111
874,64.0740554,7.066666667
874,66.1127127,7.888888889
874,65.26664306,7.133333333
874,94.41643503,4.744444444
875,80.92167139,6.3
875,69.0447537,7.011111111
876,61.19199487,8.577777778
877,78.66937624,5.788888889
877,66.66025021,8.15
877,80.82242494,6.311111111
878,74.58737286,6.422222222
878,69.16506764,6.925
878,78.6408552,6.866666667
879,69.50042179,7.844444444
879,43.53695839,10.03333333
879,70.34545273,5.966666667
880,81.16352442,6.566666667
880,75.75039096,6.1
880,77.02019804,6.066666667
881,72.04398719,6.8
881,60.94703891,5.822222222
881,65.31734016,6.455555556
882,73.07526689,7.466666667
883,59.14288583,7.266666667
884,66.07854251,7.011111111
884,60.2365559,8.144444444
886,81.54718985,5.355555556
886,53.35043266,9.457142857
887,78.63154086,6.833333333
887,78.68990443,6.455555556
887,72.15361077,6
888,67.1259944,7.022222222
889,70.05891598,7.144444444
889,98.26291047,5.514285714
890,78.32315169,5.4
890,60.36900459,8.066666667
890,80.69550288,5.455555556
891,77.23653344,6.455555556
891,84.44117606,5.677777778
891,61.76917076,7.222222222
891,76.40494801,5.177777778
891,44.18033309,7.688888889
891,86.77402257,4.633333333
891,99.55710101,5.1
892,89.73785921,5.255555556
892,40.19004043,10.23333333
893,72.35198981,8.177777778
894,73.85750466,6.588888889
895,79.38371596,7.044444444
895,57.64625965,8.72
895,78.86806371,6.65
896,66.97308454,6.977777778
897,57.28400903,8.433333333
897,58.5071386,6.366666667
897,82.18938341,5.744444444
898,55.91626574,9.433333333
898,45.48260595,10.82222222
899,96.68821562,5.1
899,57.07481977,9.188888889
900,65.40894741,6.475
900,68.38455808,7.555555556
900,65.71957432,7.5
900,59.4315197,7.983333333
900,75.66159248,5.511111111
901,43.61238085,10.03333333
901,75.61082668,5.433333333
901,65.89852931,5.955555556
902,63.67116086,6.488888889
902,71.22195285,6.8
902,78.5052536,4.811111111
902,80.36887468,6.466666667
903,66.55307569,7.2875
903,52.37967174,8.366666667
903,70.22757121,6.177777778
903,88.60283255,6.111111111
