Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
1.5,933,4.777777778,8.018181818,79.06809533
1.5,902,4.811111111,11.01818182,78.5052536
3,807,5.822222222,30.87272727,59.7775
2.75,849,7.5,24.16363636,61.08843692
2.5,760,6.122222222,17.70909091,70.46741435
2.666666667,821,6.866666667,16.69090909,66.41601109
2,829,6.377777778,9.081818182,78.45819513
2,835,5.711111111,10.6,79.76424066
2.333333333,706,6.122222222,5.836363636,81.83256069
2.333333333,1043,6.3,12.83636364,79.25723642
1.5,823,5.455555556,6.481818182,86.56845437
2.666666667,999,6.711111111,29.45454545,62.1876805
2,783,6.466666667,17.85454545,69.04640846
2.5,570,6.988888889,15.16363636,67.66200978
1,910,4.566666667,4.836363636,85.15698595
2,977,5.1,9.554545455,78.00557392
2.5,795,7.111111111,26.22727273,59.25848707
2.8,747,6.755555556,15.14545455,74.41039205
2,837,4.577777778,6.272727273,88.71008743
2.666666667,817,5.933333333,16.22727273,65.29821399
2,1497,5.833333333,17.25454545,68.21861708
2,1068,7.7,24.27272727,62.82977841
2,1093,6.488888889,22.6,65.92861583
2,1512,7.977777778,28.92727273,55.30637959
1,948,5.044444444,4.345454545,96.74329767
2,1126,4.544444444,4.563636364,96.44583969
1.5,1108,6.522222222,10.01818182,83.28086164
2.333333333,543,7.911111111,14.32727273,54.53155311
2,1014,6.533333333,9.790909091,74.95055397
2.333333333,1041,8.155555556,12.09090909,66.72601779
2.8,560,7.711111111,9.363636364,69.53743308
1.5,1464,6.477777778,7.527272727,78.25523555
2,388,6.711111111,9.318181818,69.51464075
2,1522,6.811111111,9.181818182,78.82467191
2.5,586,6.111111111,8.018181818,72.08885249
1.666666667,363,5.8,8.527272727,81.17536825
1.5,942,4.533333333,1.927272727,99.62286194
2.5,438,8.055555556,8.981818182,69.35567299
2,1161,6.144444444,13.70909091,72.83230608
2,1270,6.855555556,10.75454545,73.154552
1.5,818,5.411111111,2.945454545,99.32238537
2,1175,6.622222222,10.18181818,66.66342647
3.2,421,7.788888889,12.94545455,57.66544766
2.75,636,7.366666667,23.89090909,62.26677504
2.5,627,8.322222222,18.54545455,70.45400821
2.5,1052,6.7,12.36363636,76.09986133
2.333333333,743,7.333333333,11.19090909,60.1389932
2.5,526,6.6,10.58181818,76.53163052
1.5,1633,3.3,9.145454545,95.91770024
2.75,1042,7.111111111,22.99090909,58.24514209
2,769,7.4,11.17272727,72.93202443
2.6,661,7.455555556,15.10909091,54.44883495
2.75,439,8.255555556,17.69090909,50.78711505
2,1068,6.377777778,8.654545455,72.44258186
2,1627,5.922222222,5.272727273,84.54645707
2.666666667,828,7.455555556,17.95454545,57.2598131
2.5,449,8.911111111,29.11818182,59.70055659
2,1484,5.933333333,8.281818182,69.93083553
2,1709,6.477777778,8.972727273,76.26758123
2,1199,6.6,11.08181818,74.38899178
2,1209,6.477777778,13.88181818,69.86927171
2,1600,7.166666667,10.8,67.67288617
1.5,1952,4.966666667,3.918181818,90.65043009
2.333333333,1002,6.122222222,4.881818182,79.29678369
2,1471,5.6,9.154545455,74.66124596
2,1114,7.311111111,20.89090909,64.54052703
1,1524,5.088888889,5.354545455,82.80390301
1.5,1055,5.911111111,6.3,84.55219145
1,1784,5.666666667,7,81.23237303
2,729,7.455555556,10.59090909,68.17150473
2.5,1557,6.844444444,10.18181818,69.35300866
2.5,1345,7.011111111,11.82727273,62.28469205
2,1303,6.011111111,9.009090909,73.25058832
1.666666667,1250,5.711111111,5.218181818,83.83748783
1.5,1573,6.855555556,5.827272727,75.89952517
2.5,1599,6.477777778,5.854545455,73.45813953
1.5,1328,5.988888889,8.454545455,76.67697351
2.8,739,6.866666667,12.2,69.50839523
2,1174,5.466666667,8.972727273,71.96925196
2.5,1075,5.833333333,11.52727273,79.96832177
2.333333333,1359,6.677777778,12.11818182,67.62907515
2,1079,7.722222222,10.45454545,65.36530156
2.333333333,597,6.7,13.57272727,68.45265016
2.5,926,6.711111111,15.98181818,65.98506329
3,874,7.888888889,35.03636364,66.1127127
2,454,3.911111111,16.36363636,83.1948901
2,1565,6.566666667,19.92727273,76.67040905
1.5,904,5.611111111,17.64545455,78.85603491
1,1259,5.533333333,40.23636364,85.1125423
2,992,6.422222222,39.76363636,71.98741309
2.333333333,1286,8.133333333,47.51818182,57.36486927
1.5,1073,7.144444444,37.69090909,74.42855412
2,1580,5.366666667,12.95454545,83.15323372
2,737,5.888888889,32.20909091,71.4769143
2,1099,6.277777778,51.02727273,71.68216775
2,595,8.5,44.11818182,63.3587149
2,763,5.933333333,13.8,80.86642688
1,835,5.833333333,42.69090909,63.39562009
3,915,8.288888889,35.74545455,51.69719225
2,819,6.6,34.41818182,69.4478401
2,1041,5.233333333,26.06363636,58.86872011
2,1035,4.611111111,34.58181818,63.10797652
2,1212,7.911111111,41.61818182,64.15188913
3,1047,9.355555556,44.34545455,52.40283997
1,1341,5.777777778,24.13636364,71.61832026
2,1500,5.566666667,29.02727273,71.51588204
1,1650,5.588888889,9.063636364,82.13956754
1,837,5.155555556,34.77272727,72.97459085
2,1071,5.855555556,26.49090909,76.10240103
2,1033,6.1,27.53636364,63.20144939
2,1181,6.944444444,40.72727273,53.64816406
1.5,1783,6.166666667,17.51818182,74.93735735
1.5,1686,6.133333333,23.85454545,66.75264898
2.5,666,6.544444444,24.11818182,62.96489626
2.4,384,5.311111111,2.290909091,92.47650124
2.5,1418,6.088888889,20.4,69.39948382
2.75,2040,6.011111111,2.636363636,91.32172044
2,836,7.688888889,29.23636364,64.92524567
2.75,1027,11.1,57.57272727,38.70788145
1.666666667,944,5.822222222,30.51818182,58.33769459
2,1478,5.922222222,7.163636364,72.63337975
2.75,241,7.322222222,1.75,80.46405936
2,1576,6.322222222,33.81818182,75.66675977
2,1416,8.222222222,22.81818182,68.43061585
2.5,1117,7.455555556,42.53636364,55.11175772
2,537,5.566666667,43.57272727,58.47660695
3,1120,5.944444444,23.38181818,62.37818342
3,1246,8.688888889,31.72727273,56.59961311
2.5,924,5.988888889,18.3,80.20988529
2,717,7.455555556,34.40909091,55.30453509
1.5,1554,6.533333333,27.97272727,80.19697466
2.333333333,1672,6.511111111,27.24545455,59.59122851
2,1123,5.777777778,26.00909091,67.13953524
1,1441,3.855555556,29.75454545,88.53601961
2,1736,6.266666667,31.96363636,72.50318825
1.5,1719,6.577777778,20.7,72.14314614
2.333333333,836,6.088888889,32.06363636,72.21400537
2,1042,6.611111111,20.12727273,66.49751012
1.5,1461,4.922222222,15.14545455,72.45348512
3.2,1079,7.911111111,31.91818182,60.25938991
2.333333333,1118,6.4,26.28181818,59.98921587
2.333333333,1416,8.144444444,26.16363636,61.15875316
2.75,254,10.3,20.30909091,58.02827414
3,1231,7.577777778,19.36363636,61.46025116
2,964,6.822222222,10.50909091,73.19327134
2.333333333,960,7.133333333,15.30909091,64.66181172
3,1130,6,27.08181818,66.9005581
3,891,7.222222222,34.3,61.76917076
1.5,1401,5.6,17.98181818,73.18740389
1,1247,4.766666667,15.14545455,79.1949275
2,1273,6.077777778,23.88181818,67.92704432
