cluster 1,cluster 2,without special schools
67.73526938,72.93202443,76.53163052
67.7370888,72.97459085,76.54271632
67.75379011,73.03253839,76.54381088
67.77517901,73.06714744,76.55346506
67.79585974,73.09589461,76.67040905
67.83114206,73.10011355,76.67697351
67.89723541,73.14802797,76.72985633
67.94007946,73.154552,76.82011883
68.03287779,73.16798885,76.83385405
68.03631998,73.18030738,76.87048716
68.04671762,73.1856949,76.9181892
68.0950497,73.18740389,76.97919462
68.12194326,73.19327134,77.02019804
68.12532567,73.25058832,77.02590784
68.14036643,73.26099113,77.02843901
68.14722577,73.2626399,77.13211761
68.15064728,73.27542806,77.20580544
68.15758329,73.29274728,77.24760891
68.19207968,73.34999168,77.28017695
68.20056735,73.39714277,77.28584444
68.23602455,73.45813953,77.34461328
68.24598045,73.49340185,77.40009042
68.24611456,73.50733586,77.43704563
68.26458401,73.57473791,77.44561182
68.27384355,73.62036559,77.50983153
68.30140355,73.65217857,77.59291867
68.32819714,73.67958519,77.60185811
68.33107634,73.87924608,77.60294765
68.38455808,73.90931071,77.62783665
68.395353,73.95062742,77.65068702
68.4117092,74.06968183,77.65366916
68.43595614,74.08720748,77.68046806
68.46899244,74.29285823,77.68578586
68.47566549,74.31378561,77.70231234
68.49107283,74.38899178,77.75057599
68.51239888,74.41039205,78.00557392
68.54563801,74.42855412,78.03694624
68.55631173,74.48356407,78.20359945
68.56529919,74.51689568,78.25523555
68.57508415,74.52407402,78.45819513
68.58381544,74.58226814,78.5052536
68.62760524,74.58737286,78.54117452
68.63316589,74.60321272,78.57613484
68.65790428,74.64257877,78.66937624
68.69086896,74.66124596,78.6906066
68.69742883,74.68522592,78.70168738
68.71835763,74.71641136,78.7020825
68.72272058,74.79191626,78.74564874
68.73744239,74.85664727,78.76549438
68.77715495,74.88380083,78.82467191
68.79567892,74.93735735,78.85603491
68.81191201,74.95055397,78.85716952
68.89736649,75.0091975,79.0605381
68.92166475,75.10255963,79.06809533
68.98888488,75.12427359,79.1949275
68.99297715,75.18145643,79.24451795
69.00545028,75.22006403,79.25723642
69.02087736,75.23468755,79.27445055
69.0447537,75.26983974,79.29678369
69.07374833,75.42852738,79.34474669
69.07568566,75.43439832,79.37217242
69.10102988,75.44008347,79.50666208
69.10809749,75.49615491,79.64512328
69.11654789,75.58642017,79.64976832
69.11926883,75.66159248,79.67523906
69.12085578,75.66675977,79.73019198
69.12382046,75.69184996,79.76424066
69.13934283,75.72559394,79.79438774
69.14150965,75.75039096,79.89494331
69.1436293,75.76062246,79.89500231
69.16506764,75.76581,79.9358417
69.16814798,75.8095947,79.95716046
69.18743536,75.83395745,79.96832177
69.20460931,75.84309506,79.97648029
69.27373487,75.88786706,80.01360174
69.33330137,75.89952517,80.11657539
69.35166599,75.98964013,80.15049011
69.36174099,76.09986133,80.19697466
69.39143572,76.10240103,80.20988529
69.39870136,76.26758123,80.31959808
69.41001951,76.31881615,80.46405936
69.42953794,76.33674469,80.47101958
69.43779176,76.33882265,80.49670827
69.44365475,76.35679873,80.51347895
69.47316334,76.3758223,80.51716281
69.49104627,76.39540127,80.60031611
69.50042179,76.39718423,80.69231578
69.54729067,76.40494801,80.69550288
69.55346786,76.44765172,80.71142644
69.55884872,76.47927909,80.73000774
69.56793693,76.50127348,80.80003406
69.60521383,76.53163052,80.86642688
69.63150694,76.54271632,81.00782668
69.64065291,76.54381088,81.02395423
69.648715,76.55346506,81.06930799
69.65712188,76.67040905,81.17536825
69.66403099,76.67697351,81.19690497
69.6998215,76.72985633,81.20148227
69.72859232,76.82011883,81.2137022
69.77747242,76.83385405,81.23237303
69.79849872,76.87048716,81.24288139
69.80640094,76.9181892,81.32726657
69.85328795,76.97919462,81.33338627
69.86360229,77.02019804,81.3336316
69.88503035,77.02590784,81.34073434
69.90027232,77.02843901,81.39821977
69.96034924,77.13211761,81.47449778
69.99020916,77.20580544,81.50390315
70.01198955,77.24760891,81.50901608
70.01270584,77.28017695,81.54152891
70.01791005,77.28584444,81.57002625
70.02154583,77.34461328,81.62369681
70.02591841,77.40009042,81.71329376
70.05891598,77.43704563,81.77277625
70.06372035,77.44561182,81.83256069
70.09125862,77.50983153,81.92048523
70.1112103,77.59291867,81.95112978
70.12190263,77.60185811,82.02551142
70.1423184,77.60294765,82.05383813
70.15917438,77.62783665,82.07150712
70.16523381,77.65068702,82.13956754
70.18237894,77.65366916,82.15949669
70.20625248,77.68046806,82.2002505
70.21459073,77.68578586,82.31956525
70.21735129,77.70231234,82.38108656
70.22955363,77.75057599,82.43262744
70.24140552,78.00557392,82.51470136
70.29532166,78.03694624,82.68315787
70.29783683,78.20359945,82.75968365
70.3024187,78.25523555,82.77844976
70.30524939,78.45819513,82.80390301
70.31444119,78.5052536,82.808866
70.34545273,78.54117452,82.90870477
70.37109433,78.57613484,82.94817397
70.3727668,78.66937624,83.02258662
70.3763344,78.6906066,83.15323372
70.3796639,78.70168738,83.17222883
70.39318996,78.7020825,83.1948901
70.40681397,78.74564874,83.27066791
70.41387259,78.76549438,83.28086164
70.42530097,78.82467191,83.3385903
70.42782236,78.85603491,83.45398794
70.42872667,78.85716952,83.59177529
70.45972404,79.0605381,83.64744587
70.46417177,79.06809533,83.70925636
70.47346252,79.1949275,83.83748783
70.47418305,79.24451795,83.86964545
70.49357642,79.25723642,83.95852594
70.50641855,79.27445055,83.98401585
70.54889693,79.29678369,84.00039155
70.56165443,79.34474669,84.01238545
70.57719593,79.37217242,84.0903868
70.57834704,79.50666208,84.22302057
70.60766336,79.64512328,84.22819215
70.63055637,79.64976832,84.27330209
70.64798573,79.67523906,84.41017044
70.69395115,79.73019198,84.4708557
70.69598927,79.76424066,84.47430896
70.75603688,79.79438774,84.54645707
70.76119597,79.89494331,84.55219145
70.78700042,79.89500231,84.64868099
70.80629281,79.9358417,84.74831429
70.81922775,79.95716046,84.81121741
70.82269263,79.96832177,84.9081243
70.83622921,79.97648029,84.98581404
70.85305375,80.01360174,85.03184987
70.8730045,80.11657539,85.1125423
70.91759434,80.15049011,85.15698595
70.94280811,80.19697466,85.21135899
70.97162673,80.20988529,85.36915853
70.97456568,80.31959808,85.39942576
71.01053812,80.46405936,85.52348411
71.03349995,80.47101958,85.60852438
71.03552733,80.49670827,85.65525537
71.04976492,80.51347895,85.66226123
